id,question,A,B,C,D,E,F,G,answer
106,"You're the security manager for a tech company that uses a database to store sensitive customer data. You have implemented countermeasures against SQL injection attacks. Recently, you noticed some suspicious activities and suspect an attacker is using SQL injection techniques. The attacker is believed to use different forms of payloads in his SQL queries. In the case of a successful SQL injection attack, which of the following payloads would have the most significant impact?","??OR 'T=""1: This payload manipulates the WHERE clause of an SQL statement, allowing the attacker to view unauthorized data","??OR username LIKE '%: This payload uses the LIKE operator to search for a specific pattern in a column","OR ??a??='a; DROP TABLE members; --: This payload combines the manipulation of the WHERE clausewith a destructive action, causing data loss","UNION SELECT NULL, NULL, NULL -- : This payload manipulates the UNION SQL operator, enabling the attacker to retrieve data from different database tables","","","","C"
107,"What is the least important information when you analyze a public IP address in a security alert?","DNS","Whois","Geolocation","ARP","","","","D"
108,"What useful information is gathered during a successful Simple Mail Transfer Protocol (SMTP) enumeration?","The two internal commands VRFY and EXPN provide a confirmation of valid users, email addresses, aliases, and mailing lists.","Reveals the daily outgoing message limits before mailboxes are locked","The internal command RCPT provides a list of ports open to message traffic.","A list of all mail proxy server addresses used by the targeted host","","","","A"
109,"Study the following log extract and identify the attack.","Hexcode Attack","Cross Site Scripting","Multiple Domain Traversal Attack","Unicode Directory Traversal Attack","","","","D"
110,"You are analysing traffic on the network with Wireshark. You want to routinely run a cron job which will run the capture against a specific set of IPs - 192.168.8.0/24. What command you would use?","wireshark --fetch ''192.168.8*''","wireshark --capture --local masked 192.168.8.0 ---range 24","tshark -net 192.255.255.255 mask 192.168.8.0","sudo tshark -f''net 192 .68.8.0/24''","","","","D"
111,"What does the following command in netcat do? nc -l -u -p55555 < /etc/passwd","logs the incoming connections to /etc/passwd file","loads the /etc/passwd file to the UDP port 55555","grabs the /etc/passwd file when connected to UDP port 55555","deletes the /etc/passwd file when connected to the UDP port 55555","","","","C"
112,"You are programming a buffer overflow exploit and you want to create a NOP sled of 200 bytes in the program exploit.c What is the hexadecimal value of NOP instruction?","0x60","0x80","0x70","0x90","","","","D"
113,"Which of the following is the structure designed to verify and authenticate the identity of individuals within the enterprise taking part in a data exchange?","SOA","biometrics","single sign on","PKI","","","","D"
114,"What two conditions must a digital signature meet?","Has to be the same number of characters as a physical signature and must be unique.","Has to be unforgeable, and has to be authentic.","Must be unique and have special characters.","Has to be legible and neat.","","","","B"
115,"Which of the following tools can be used to perform a zone transfer?","NSLookup","Finger","Dig","Sam Spade","Host","Netcat","Neotrace","ACDE"
116,"One of your team members has asked you to analyze the following SOA record. What is the version? Rutgers.edu.SOA NS1.Rutgers.edu ipad.college.edu (200302028 3600 3600 604800 2400.) (Choose four.)","200303028","3600","604800","2400","60","4800","","A"
117,"When discussing passwords, what is considered a brute force attack?","You attempt every single possibility until you exhaust all possible combinations or discover the password","You threaten to use the rubber hose on someone unless they reveal their password","You load a dictionary of words into your cracking program","You create hashes of a large number of words and compare it with the encrypted passwords","You wait until the password expires","","","A"
118,"You are working as a Security Analyst in a company XYZ that owns the whole subnet range of 23.0.0.0/8 and 192.168.0.0/8. While monitoring the data, you find a high number of outbound connections. You see that IP’s owned by XYZ (Internal) and private IP’s are communicating to a Single Public IP. Therefore, the Internal IP’s are sending data to the Public IP. After further analysis, you find out that this Public IP is a blacklisted IP, and the internal communicating devices are compromised. What kind of attack does the above scenario depict?","Botnet Attack","Spear Phishing Attack","Advanced Persistent Threats","Rootkit Attack","","","","A"
119,"Joseph was the Web site administrator for the Mason Insurance in New York, who's main Web site was located at www.masonins.com. Joseph uses his laptop computer regularly to administer the Web site. One night, Joseph received an urgent phone call from his friend, Smith. According to Smith, the main Mason Insurance web site had been vandalized! All of its normal content was removed and replaced with an attacker's message ''Hacker Message: You are dead! Freaks!” From his office, which was directly connected to Mason Insurance's internal network, Joseph surfed to the Web site using his laptop. In his browser, the Web site looked completely intact. No changes were apparent. Joseph called a friend of his at his home to help troubleshoot the problem. The Web site appeared defaced when his friend visited using his DSL connection. So, while Smith and his friend could see the defaced page, Joseph saw the intact Mason Insurance web site. To help make sense of this problem, Joseph decided to access the Web site using hisdial-up ISP. He disconnected his laptop from the corporate internal network and used his modem to dial up the same ISP used by Smith. After his modem connected, he quickly typed www.masonins.com in his browser to reveal the following web page: After seeing the defaced Web site, he disconnected his dial-up line, reconnected to the internal network, and used Secure Shell (SSH) to log in directly to the Web server. He ran Tripwire against the entire Web site, and determined that every system file and all the Web content on the server were intact. How did the attacker accomplish this hack?","ARP spoofing","SQL injection","DNS poisoning","Routing table injection","","","","C"
120,"Which of the following algorithms can be used to guarantee the integrity of messages being sent, in transit, or stored?","symmetric algorithms","asymmetric algorithms","hashing algorithms","integrity algorithms","","","","C"
121,"In the field of cryptanalysis, what is meant by a “rubber-hose” attack?","Forcing the targeted keystream through a hardware-accelerated device such as an ASIC.","A backdoor placed into a cryptographic algorithm by its creator.","Extraction of cryptographic secrets through coercion or torture.","Attempting to decrypt ciphertext by making logical assumptions about the contents of the original plaintext.","","","","C"
122,"In an internal security audit, the white hat hacker gains control over a user account and attempts to acquire access to another account's confidential files and information. How can he achieve this?","Privilege Escalation","Shoulder-Surfing","Hacking Active Directory","Port Scanning","","","","A"
123,"Which DNS resource record can indicate how long any ""DNS poisoning"" could last?","MX","SOA","NS","TIMEOUT","","","","B"
124,"Based on the following extract from the log of a compromised machine, what is the hacker really trying to steal?","har.txt","SAM file","wwwroot","Repair file","","","","B"
125,"You are tasked to configure the DHCP server to lease the last 100 usable IP addresses in subnet to. 1.4.0/23. Which of the following IP addresses could be teased as a result of the new configuration?","210.1.55.200","10.1.4.254","10..1.5.200","10.1.4.156","","","","C"
126,"Log monitoring tools performing behavioral analysis have alerted several suspicious logins on a Linux server occurring during non-business hours. After further examination of all login activities, it is noticed that none of the logins have occurred during typical work hours. A Linux administrator who is investigating this problem realizes the system time on the Linux server is wrong by more than twelve hours. What protocol used on Linux servers to synchronize the time has stopped working?","Time Keeper","NTP","PPP","OSPP","","","","B"
127,"Elliot is in the process of exploiting a web application that uses SQL as a back-end database. He’s determined that the application is vulnerable to SQL injection, and has introduced conditional timing delays into injected queries to determine whether they are successful. What type of SQL injection is Elliot most likely performing?","Error-based SQL injection","Blind SQL injection","Union-based SQL injection","NoSQL injection","","","","B"
128,"When a normal TCP connection starts, a destination host receives a SYN (synchronize/start) packet from a source host and sends back a SYN/ACK (synchronize acknowledge). The destination host must then hear an ACK (acknowledge) of the SYN/ACK before the connection is established. This is referred to as the ""TCP three-way handshake."" While waiting for the ACK to the SYN ACK, a connection queue of finite size on the destination host keeps track of connections waiting to be completed. This queue typically empties quickly since the ACK is expected to arrive a few milliseconds after the SYN ACK. How would an attacker exploit this design by launching TCP SYN attack?","Attacker generates TCP SYN packets with random destination addresses towards a victim host","Attacker floods TCP SYN packets with random source addresses towards a victim host","Attacker generates TCP ACK packets with random source addresses towards a victim host","Attacker generates TCP RST packets with random source addresses towards a victim host","","","","B"
129,"Under what conditions does a secondary name server request a zone transfer from a primary name server?","When a primary SOA is higher that a secondary SOA","When a secondary SOA is higher that a primary SOA","When a primary name server has had its service restarted","When a secondary name server has had its service restarted","When the TTL falls to zero","","","A"
130,"What tool can crack Windows SMB passwords simply by listening to network traffic?","This is not possible","Netbus","NTFSDOS","L0phtcrack","","","","D"
131,"One of your team members has asked you to analyze the following SOA record. What is the TTL? Rutgers.edu.SOA NS1.Rutgers.edu ipad.college.edu (200302028 3600 3600 604800 2400.)","200303028","3600","604800","2400","60","4800","","D"
132,"How can you determine if an LM hash you extracted contains a password that is less than 8 characters long?","There is no way to tell because a hash cannot be reversed","The right most portion of the hash is always the same","The hash always starts with AB923D","The left most portion of the hash is always the same","A portion of the hash will be all 0's","","","B"
133,"You have successfully logged on a Linux system. You want to now cover your trade Your login attempt may be logged on several files located in /var/log. Which file does NOT belongs to the list:","user.log","auth.fesg","wtmp","btmp","","","","C"
134,"When analyzing the IDS logs, the system administrator noticed an alert was logged when the external router was accessed from the administrator’s Computer to update the router configuration. What type of an alert is this?","False negative","True negative","True positive","False positive","","","","D"
135,"If you want to only scan fewer ports than the default scan using Nmap tool, which option would you use?","–r","–F","–P","–sP","","","","B"
136,"ViruXine.W32 virus hides their presence by changing the underlying executable code. This Virus code mutates while keeping the original algorithm intact, the code changes itself each time it runs, but the function of the code (its semantics) will not change at all. Here is a section of the Virus code: What is this technique called?","Polymorphic Virus","Metamorphic Virus","Dravidic Virus","Stealth Virus","","","","A"
137,"Study the snort rule given below: From the options below, choose the exploit against which this rule applies.","WebDav","SQL Slammer","MS Blaster","MyDoom","","","","C"
138,"“........is an attack type for a rogue Wi-Fi access point that appears to be a legitimate one offered on the premises, but actually has been set up to eavesdrop on wireless communications. It is the wireless version of the phishing scam. An attacker fools wireless users into connecting a laptop or mobile phone to a tainted hot- spot by posing as a legitimate provider. This type of attack may be used to steal the passwords of unsuspecting users by either snooping the communication link or by phishing, which involves setting up a fraudulent web site and luring people there.” Fill in the blank with appropriate choice.","Evil Twin Attack","Sinkhole Attack","Collision Attack","Signal Jamming Attack","","","","A"
139,"You need a tool that can do network intrusion prevention and intrusion detection, function as a network sniffer, and record network activity, what tool would you most likely select?","Nmap","Cain & Abel","Nessus","Snort","","","","D"
140,"While performing online banking using a Web browser, a user receives an email that contains a link to an interesting Web site. When the user clicks on the link, another Web browser session starts and displays a video of cats playing a piano. The next business day, the user receives what looks like an email from his bank, indicating that his bank account has been accessed from a foreign country. The email asks the user to call his bank and verify the authorization of a funds transfer that took place. What Web browser-based security vulnerability was exploited to compromise the user?","Clickjacking","Cross-Site Scripting","Cross-Site Request Forgery","Web form input validation","","","","C"
141,"User A is writing a sensitive email message to user B outside the local network. User A has chosen to use PKI to secure his message and ensure only user B can read the sensitive email. At what layer of the OSI layer does the encryption and decryption of the message take place?","Application","Transport","Session","Presentation","","","","D"
142,"A penetration tester is conducting a port scan on a specific host. The tester found several ports opened that were confusing in concluding the Operating System (OS) version installed. Considering that NMAP result below, which of the following is likely to be installed on the target machine by the OS? Starting NMAP 5.21 at 2011-03-15 11:06 NMAP scan report for 172.16.40.65 Host is up (1.00s latency). Not shown: 993 closed ports PORT STATE SERVICE 21/tcp open ftp 23/tcp open telnet 80/tcp open http 139/tcp open netbios-ssn 515/tcp open 631/tcp open ipp 9100/tcp open MAC Address: 00:00:48:0D:EE:8","The host is likely a Linux machine.","The host is likely a printer.","The host is likely a router.","The host is likely a Windows machine.","","","","B"
143,"Which type of sniffing technique is generally referred as MiTM attack?","Password Sniffing","ARP Poisoning","Mac Flooding","DHCP Sniffing","","","","B"
144,"Bob, a network administrator at BigUniversity, realized that some students are connecting their notebooks in the wired network to have Internet access. In the university campus, there are many Ethernet ports available for professors and authorized visitors but not for students. He identified this when the IDS alerted for malware activities in the network. What should Bob do to avoid this problem?","Disable unused ports in the switches","Separate students in a different VLAN","Use the 802.1x protocol","Ask students to use the wireless network","","","","C"
145,"A zone file consists of which of the following Resource Records (RRs)?","DNS, NS, AXFR, and MX records","DNS, NS, PTR, and MX records","SOA, NS, AXFR, and MX records","SOA, NS, A, and MX records","","","","D"
146,"Which system consists of a publicly available set of databases that contain domain name registration contact information?","WHOIS","CAPTCHA","IANA","IETF","","","","A"
147,"During an Xmas scan what indicates a port is closed?","No return response","RST","ACK","SYN","","","","B"
148,"Every company needs a formal written document which spells out to employees precisely what they are allowed to use the company's systems for, what is prohibited, and what will happen to them if they break the rules. Two printed copies of the policy should be given to every employee as soon as possible after they join the organization. The employee should be asked to sign one copy, which should be safely filed by the company. No one should be allowed to use the company's computer systems until they have signed the policy in acceptance of its terms. What is this document called?","Information Audit Policy (IAP)","Information Security Policy (ISP)","Penetration Testing Policy (PTP)","Company Compliance Policy (CCP)","","","","B"
149,"Eve is spending her day scanning the library computers. She notices that Alice is using a computer whose port 445 is active and listening. Eve uses the ENUM tool to enumerate Alice machine. From the command prompt, she types the following command. What is Eve trying to do?","Eve is trying to connect as a user with Administrator privileges","Eve is trying to enumerate all users with Administrative privileges","Eve is trying to carry out a password crack for user Administrator","Eve is trying to escalate privilege of the null user to that of Administrator","","","","C"
150,"Bob is going to perform an active session hijack against Brownies Inc. He has found a target that allows session oriented connections (Telnet) and performs the sequence prediction on the target operating system. He manages to find an active session due to the high level of traffic on the network. What is Bob supposed to do next?","Take over the session","Reverse sequence prediction","Guess the sequence numbers","Take one of the parties offline","","","","C"
151,"The network team has well-established procedures to follow for creating new rules on the firewall. This includes having approval from a manager prior to implementing any new rules. While reviewing the firewall configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would be a good step to have in the procedures for a situation like this?","Have the network team document the reason why the rule was implemented without prior manager approval.","Monitor all traffic using the firewall rule until a manager can approve it.","Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.","Immediately roll back the firewall rule until a manager can approve it","","","","D"
152,"Bob, a system administrator at TPNQM SA, concluded one day that a DMZ is not needed if he properly configures the firewall to allow access just to servers/ports, which can have direct internet access, and block the access to workstations. Bob also concluded that DMZ makes sense just when a stateful firewall is available, which is not the case of TPNQM SA. In this context, what can you say?","Bob can be right since DMZ does not make sense when combined with stateless firewalls","Bob is partially righ","He does not need to separate networks if he can create rules by destination IPs, one by one","Bob is totally wron","DMZ is always relevant when the company has internet servers and workstations","Bob is partially righ","DMZ does not make sense when a stateless firewall is available","C"
153,"As a Certified Ethical Hacker, you were contracted by a private firm to conduct an external security assessment through penetration testing. What document describes the specifics of the testing, the associated violations, and essentially protects both the organization’s interest and your liabilities as a tester?","Service Level Agreement","Project Scope","Rules of Engagement","Non-Disclosure Agreement","","","","C"
154,"A technician is resolving an issue where a computer is unable to connect to the Internet using a wireless access point. The computer is able to transfer files locally to other machines, but cannot successfully reach the Internet. When the technician examines the IP address and default gateway they are both on the 192.168.1.0/24. Which of the following has occurred?","The computer is not using a private IP address.","The gateway is not routing to a public IP address.","The gateway and the computer are not on the same network.","The computer is using an invalid IP address.","","","","B"
155,"To determine if a software program properly handles a wide range of invalid input, a form of automated testing can be used to randomly generate invalid input in an attempt to crash the program. What term is commonly used when referring to this type of testing?","Randomizing","Bounding","Mutating","Fuzzing","","","","D"
156,"In the context of Windows Security, what is a 'null' user?","A user that has no skills","An account that has been suspended by the admin","A pseudo account that has no username and password","A pseudo account that was created for security administration purpose","","","","C"
157,"An attacker, using a rogue wireless AP, performed an MITM attack and injected an HTML code to embed a malicious applet in all HTTP connections. When users accessed any page, the applet ran and exploited many machines. Which one of the following tools the hacker probably used to inject HTML code?","Wireshark","Ettercap","Aircrack-ng","Tcpdump","","","","B"
158,"Matthew, a black hat, has managed to open a meterpreter session to one of the kiosk machines in Evil Corp’s lobby. He checks his current SID, which is S-1-5-21-1223352397-1872883824-861252104-501. What needs to happen before Matthew has full administrator access?","He must perform privilege escalation.","He needs to disable antivirus protection.","He needs to gain physical access.","He already has admin privileges, as shown by the “501” at the end of the SID.","","","","A"
159,"Eric has discovered a fantastic package of tools named Dsniff on the Internet. He has learnt to use these tools in his lab and is now ready for real world exploitation. He was able to effectively intercept communications between the two entities and establish credentials with both sides of the connections. The two remote ends of the communication never notice that Eric is relaying the information between the two. What would you call this attack?","Interceptor","Man-in-the-middle","ARP Proxy","Poisoning Attack","","","","B"
160,"CompanyXYZ has asked you to assess the security of their perimeter email gateway. From your office in New York, you craft a specially formatted email message and send it across the Internet to an employee of CompanyXYZ. The employee of CompanyXYZ is aware of your test. Your email message looks like this: From: jim_miller@companyxyz.com To: michelle_saunders@companyxyz.com Subject: Test message Date: 4/3/2017 14:37 The employee of CompanyXYZ receives your email message. This proves that CompanyXYZ’s email gateway doesn’t prevent what?","Email Masquerading","Email Harvesting","Email Phishing","Email Spoofing","","","","D"
161,"This TCP flag instructs the sending system to transmit all buffered data immediately.","SYN","RST","PSH","URG","FIN","","","C"
162,"Peter extracts the SIDs list from Windows 2000 Server machine using the hacking tool ""SIDExtractor"". Here is the output of the SIDs: From the above list identify the user account with System Administrator privileges.","John","Rebecca","Sheela","Shawn","Somia","Chang","Micah","F"
163,"Although FTP traffic is not encrypted by default, which layer 3 protocol would allow for end-to-end encryption of the connection?","SFTP","Ipsec","SSL","FTPS","","","","B"
164,"Switches maintain a CAM Table that maps individual MAC addresses on the network to physical ports on the switch. In MAC flooding attack, a switch is fed with many Ethernet frames, each containing different source MAC addresses, by the attacker. Switches have a limited memory for mapping various MAC addresses to physical ports. What happens when the CAM table becomes full?","Switch then acts as hub by broadcasting packets to all machines on the network","The CAM overflow table will cause the switch to crash causing Denial of Service","The switch replaces outgoing frame switch factory default MAC address of FF:FF:FF:FF:FF:FF","Every packet is dropped and the switch sends out SNMP alerts to the IDS port","","","","A"
165,"What is the known plaintext attack used against DES which gives the result that encrypting plaintext with one DES key followed by encrypting it with a second DES key is no more secure than using a single key?","Man-in-the-middle attack","Meet-in-the-middle attack","Replay attack","Traffic analysis attack","","","","B"
166,"Some clients of TPNQM SA were redirected to a malicious site when they tried to access the TPNQM main site. Bob, a system administrator at TPNQM SA, found that they were victims of DNS Cache Poisoning. What should Bob recommend to deal with such a threat?","The use of security agents in clients’ computers","The use of DNSSEC","The use of double-factor authentication","Client awareness","","","","B"
167,"Why would you consider sending an email to an address that you know does not exist within the company you are performing a Penetration Test for?","To determine who is the holder of the root account","To perform a DoS","To create needless SPAM","To illicit a response back that will reveal information about email servers and how they treat undeliverable mail","To test for virus protection","","","D"
168,"You have the SOA presented below in your Zone. Your secondary servers have not been able to contact your primary server to synchronize information. How long will the secondary servers attempt to contact the primary server before it considers that zone is dead and stops responding to queries? collegae.edu.SOA, cikkye.edu ipad.college.edu. (200302028 3600 3600 604800 3600)","One day","One hour","One week","One month","","","","C"
169,"You have retrieved the raw hash values from a Windows 2000 Domain Controller. Using social engineering, you come to know that they are enforcing strong passwords. You understand that all users are required to use passwords that are at least 8 characters in length. All passwords must also use 3 of the 4 following categories: lower case letters, capital letters, numbers and special characters. With your existing knowledge of users, likely user account names and the possibility that they will choose the easiest passwords possible, what would be the fastest type of password cracking attack you can run against these hash values and still get results?","Online Attack","Dictionary Attack","Brute Force Attack","Hybrid Attack","","","","D"
170,"Take a look at the following attack on a Web Server using obstructed URL: How would you protect from these attacks?","Configure the Web Server to deny requests involving ""hex encoded"" characters","Create rules in IDS to alert on strange Unicode requests","Use SSL authentication on Web Servers","Enable Active Scripts Detection at the firewall and routers","","","","B"
171,"Which results will be returned with the following Google search query? site:target.com – site:Marketing.target.com accounting","Results from matches on the site marketing.target.com that are in the domain target.com but do not include the word accounting.","Results matching all words in the query.","Results for matches on target.com and Marketing.target.com that include the word “accounting”","Results matching “accounting” in domain target.com but not on the site Marketing.target.com","","","","D"
172,"Why should the security analyst disable/remove unnecessary ISAPI filters?","To defend against social engineering attacks","To defend against webserver attacks","To defend against jailbreaking","To defend against wireless attacks","","","","B"
173,"What is the way to decide how a packet will move from an untrusted outside host to a protected inside that is behind a firewall, which permits the hacker to determine which ports are open and if the packets can pass through the packet-filtering of the firewall?","Session hijacking","Firewalking","Man-in-the middle attack","Network sniffing","","","","B"
174,"In the context of password security, a simple dictionary attack involves loading a dictionary file (a text file full of dictionary words) into a cracking application such as L0phtCrack or John the Ripper, and running it against user accounts located by the application. The larger the word and word fragment selection, the more effective the dictionary attack is. The brute force method is the most inclusive, although slow. It usually tries every possible letter and number combination in its automated exploration. If you would use both brute force and dictionary methods combined together to have variation of words, what would you call such an attack?","Full Blown","Thorough","Hybrid","BruteDics","","","","C"
175,"Which of the following tools performs comprehensive tests against web servers, including dangerous files and CGIs?","Nikto","John the Ripper","Dsniff","Snort","","","","A"
176,"DHCP snooping is a great solution to prevent rogue DHCP servers on your network. Which security feature on switchers leverages the DHCP snooping database to help prevent man-in-the-middle attacks?","Spanning tree","Dynamic ARP Inspection (DAI)","Port security","Layer 2 Attack Prevention Protocol (LAPP)","","","","B"
177,"Internet Protocol Security IPsec is actually a suite pf protocols. Each protocol within the suite provides different functionality. Collective IPsec does everything except.","Protect the payload and the headers","Encrypt","Work at the Data Link Layer","Authenticate","","","","D"
178,"The following is an entry captured by a network IDS. You are assigned the task of analyzing this entry. You notice the value 0x90, which is the most common NOOP instruction for the Intel processor. You figure that the attacker is attempting a buffer overflow attack. You also notice ""/bin/sh"" in the ASCII part of the output. As an analyst what would you conclude about the attack?","The buffer overflow attack has been neutralized by the IDS","The attacker is creating a directory on the compromised machine","The attacker is attempting a buffer overflow attack and has succeeded","The attacker is attempting an exploit that launches a command-line shell","","","","D"
179,"Steve, a scientist who works in a governmental security agency, developed a technological solution to identify people based on walking patterns and implemented this approach to a physical control access. A camera captures people walking and identifies the individuals using Steve’s approach. After that, people must approximate their RFID badges. Both the identifications are required to open the door. In this case, we can say:","Although the approach has two phases, it actually implements just one authentication factor","The solution implements the two authentication factors: physical object and physical characteristic","The solution will have a high level of false positives","Biological motion cannot be used to identify people","","","","B"
180,"A regional bank hires your company to perform a security assessment on their network after a recent data breach. The attacker was able to steal financial data from the bank by compromising only a single server. Based on this information, what should be one of your key recommendations to the bank?","Place a front-end web server in a demilitarized zone that only handles external web traffic","Require all employees to change their anti-virus program with a new one","Move the financial data to another server on the same IP subnet","Issue new certificates to the web servers from the root certificate authority","","","","A"
181,"Which of the following is the best countermeasure to encrypting ransomwares?","Use multiple antivirus softwares","Pay a ransom","Keep some generation of off-line backup","Analyze the ransomware to get decryption key of encrypted data","","","","C"
182,"What does a firewall check to prevent particular ports and applications from getting packets into an organization?","Transport layer port numbers and application layer headers","Presentation layer headers and the session layer port numbers","Network layer headers and the session layer port numbers","Application layer port numbers and the transport layer headers","","","","A"
183,"During the process of encryption and decryption, what keys are shared? During the process of encryption and decryption, what keys are shared?","Private keys","User passwords","Public keys","Public and private keys","","","","C"
184,"Which of the following is a command line packet analyzer similar to GUI-based Wireshark?","nessus","tcpdump","ethereal","jack the ripper","","","","B"
185,"While using your bank’s online servicing you notice the following string in the URL bar: “http: // www. MyPersonalBank. com/ account?id=368940911028389&Damount=10980&Camount=21” You observe that if you modify the Damount & Camount values and submit the request, that data on the web page reflects the changes. Which type of vulnerability is present on this site?","Cookie Tampering","SQL Injection","Web Parameter Tampering","XSS Reflection","","","","C"
186,"Which method of password cracking takes the most time and effort?","Dictionary attack","Shoulder surfing","Rainbow tables","Brute force","","","","D"
187,"Which of the following LM hashes represent a password of less than 8 characters? (Choose two.)","BA810DBA98995F1817306D272A9441BB","44EFCE164AB921CQAAD3B435B51404EE","0182BD0BD4444BF836077A718CCDF409","CEC52EB9C8E3455DC2265B23734E0DAC","B757BF5C0D87772FAAD3B435B51404EE","E52CAC67419A9A224A3B108F3FA6CB6D","","BE"
188,"A user on your Windows 2000 network has discovered that he can use L0phtcrack to sniff the SMB exchanges which carry user logons. The user is plugged into a hub with 23 other systems. However, he is unable to capture any logons though he knows that other users are logging in. What do you think is the most likely reason behind this?","There is a NIDS present on that segment.","Kerberos is preventing it.","Windows logons cannot be sniffed.","L0phtcrack only sniffs logons to web servers.","","","","B"
189,"Yancey is a network security administrator for a large electric company. This company provides power for over 100, 000 people in Las Vegas. Yancey has worked for his company for over 15 years and has become very successful. One day, Yancey comes in to work and finds out that the company will be downsizing and he will be out of a job in two weeks. Yancey is very angry and decides to place logic bombs, viruses, Trojans, and backdoors all over the network to take down the company once he has left. Yancey does not care if his actions land him in jail for 30 or more years, he just wants the company to pay for what they are doing to him. What would Yancey be considered?","Yancey would be considered a Suicide Hacker","Since he does not care about going to jail, he would be considered a Black Hat","Because Yancey works for the company currently; he would be a White Hat","Yancey is a Hacktivist Hacker since he is standing up to a company that is downsizing","","","","A"
190,"Which of the following steps for risk assessment methodology refers to vulnerability identification?","Determines if any flaws exist in systems, policies, or procedures","Assigns values to risk probabilities; Impact values.","Determines risk probability that vulnerability will be exploited (Hig","Medium, Low)","Identifies sources of harm to an IT syste","(Natural, Huma","Environmental)","C"
191,"The tools which receive event logs from servers, network equipment, and applications, and perform analysis and correlation on those logs, and can generate alarms for security relevant issues, are known as what?","network Sniffer","Vulnerability Scanner","Intrusion prevention Server","Security incident and event Monitoring","","","","D"
192,"What is the following command used for? net use \targetipc$ """" /u:""""","Grabbing the etc/passwd file","Grabbing the SAM","Connecting to a Linux computer through Samba.","This command is used to connect as a null session","Enumeration of Cisco routers","","","D"
193,"John the Ripper is a technical assessment tool used to test the weakness of which of the following?","Passwords","File permissions","Firewall rulesets","Usernames","","","","A"
194,"During a black-box pen test you attempt to pass IRC traffic over port 80/TCP from a compromised web enabled host. The traffic gets blocked; however, outbound HTTP traffic is unimpeded. What type of firewall is inspecting outbound traffic?","Circuit","Stateful","Application","Packet Filtering","","","","B"
195,"What term describes the amount of risk that remains after the vulnerabilities are classified and the countermeasures have been deployed?","Residual risk","Impact risk","Deferred risk","Inherent risk","","","","A"
196,"Why is a penetration test considered to be more thorough than vulnerability scan?","Vulnerability scans only do host discovery and port scanning by default.","A penetration test actively exploits vulnerabilities in the targeted infrastructure, while a vulnerability scan does not typically involve active exploitation.","It is not – a penetration test is often performed by an automated tool, while a vulnerability scan requires active engagement.","The tools used by penetration testers tend to have much more comprehensive vulnerability databases.","","","","B"
